"goal","dimension","region_id","score","year"
"AO","future",0,74.38,2012
"AO","future",1,75.34,2012
"AO","future",2,75.34,2012
"AO","future",3,67.32,2012
"AO","future",4,,2012
"AO","future",5,81.57,2012
"AO","future",6,62.01,2012
"AO","future",7,80.94,2012
"AO","future",8,78.71,2012
"AO","future",9,51.56,2012
"AO","future",10,65.91,2012
"AO","future",11,100,2012
"AO","future",12,,2012
"AO","future",13,53.61,2012
"AO","future",14,63.94,2012
"AO","future",15,90.2,2012
"AO","future",16,74.49,2012
"AO","future",17,81.13,2012
"AO","future",18,92.53,2012
"AO","future",19,62.21,2012
"AO","future",20,56.18,2012
"AO","future",21,53.62,2012
"AO","future",24,85.23,2012
"AO","future",25,80.73,2012
"AO","future",26,78.75,2012
"AO","future",28,69.94,2012
"AO","future",29,66.03,2012
"AO","future",30,,2012
"AO","future",31,81.29,2012
"AO","future",32,82.25,2012
"AO","future",33,,2012
"AO","future",34,,2012
"AO","future",35,,2012
"AO","future",36,,2012
"AO","future",37,73.88,2012
"AO","future",38,,2012
"AO","future",39,58.17,2012
"AO","future",40,83.72,2012
"AO","future",41,64.28,2012
"AO","future",42,52.93,2012
"AO","future",43,82,2012
"AO","future",44,91.94,2012
"AO","future",45,59.24,2012
"AO","future",46,65.11,2012
"AO","future",47,82.79,2012
"AO","future",48,91.2,2012
"AO","future",49,62.53,2012
"AO","future",50,94.41,2012
"AO","future",51,89.35,2012
"AO","future",52,85.97,2012
"AO","future",53,41.71,2012
"AO","future",54,94.75,2012
"AO","future",55,77.59,2012
"AO","future",56,86.72,2012
"AO","future",57,85.64,2012
"AO","future",58,78.9,2012
"AO","future",59,77.57,2012
"AO","future",60,60.06,2012
"AO","future",61,65.43,2012
"AO","future",62,77.88,2012
"AO","future",63,77.52,2012
"AO","future",64,76.87,2012
"AO","future",65,97.5,2012
"AO","future",66,88.38,2012
"AO","future",67,50.9,2012
"AO","future",68,54.86,2012
"AO","future",69,88.96,2012
"AO","future",70,89.86,2012
"AO","future",71,54.31,2012
"AO","future",72,68.47,2012
"AO","future",73,78.15,2012
"AO","future",74,18.75,2012
"AO","future",75,28.48,2012
"AO","future",76,79.02,2012
"AO","future",77,47.43,2012
"AO","future",78,47.54,2012
"AO","future",79,69.66,2012
"AO","future",80,56.79,2012
"AO","future",81,67.95,2012
"AO","future",82,48.47,2012
"AO","future",84,67.11,2012
"AO","future",85,75.59,2012
"AO","future",86,66.81,2012
"AO","future",88,58.52,2012
"AO","future",89,,2012
"AO","future",90,,2012
"AO","future",91,,2012
"AO","future",92,,2012
"AO","future",93,,2012
"AO","future",94,,2012
"AO","future",95,75.59,2012
"AO","future",96,99.2,2012
"AO","future",97,74.96,2012
"AO","future",98,64.06,2012
"AO","future",99,57.02,2012
"AO","future",100,79.04,2012
"AO","future",101,27.25,2012
"AO","future",102,65.8,2012
"AO","future",103,85.75,2012
"AO","future",104,76.09,2012
"AO","future",105,,2012
"AO","future",106,89.55,2012
"AO","future",107,,2012
"AO","future",108,87.17,2012
"AO","future",110,81.44,2012
"AO","future",111,86.9,2012
"AO","future",112,72.97,2012
"AO","future",113,100,2012
"AO","future",114,77.93,2012
"AO","future",115,65.96,2012
"AO","future",116,82.59,2012
"AO","future",117,71.18,2012
"AO","future",118,88.34,2012
"AO","future",119,87.78,2012
"AO","future",120,100,2012
"AO","future",121,70.88,2012
"AO","future",122,86.42,2012
"AO","future",123,56.96,2012
"AO","future",124,73.06,2012
"AO","future",125,64.52,2012
"AO","future",126,71.29,2012
"AO","future",127,85.82,2012
