"targets","layer","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"CW","cw_chemical_trend","Pesticide consumption as a proxy for trend in chemical pollution","shipping as a proxy for oil pollution: trend assumed to be zero based on 0 shipping","trend","trend score","cw_chemical_trend.csv","sp_id",,,,"trend",,TRUE,,,0,0,TRUE,,,,9,FALSE
"CW","cw_trash_trend","Coastal human population as a proxy for trend in trash","trash: trend assumed to be zero based on trash near 0","trend","trend score","cw_trash_trend.csv","sp_id",,,,"trend",,TRUE,,,0,0,TRUE,,,,9,FALSE
"ECO","eco","crew data for tourism and fisheries","","crew","crew","eco.csv","sp_id",,"sector","year","crew",,TRUE,2006,2015,0,17069.8162162276,FALSE,,,,9,FALSE
"FIS NP","fis_catch","mean catch","Catch data for each Taxon/CCAMLR region","catch","metric tons","fis_catch.csv","sp_id",,"species_code","year","catch",,TRUE,1973,2014,0,312134,FALSE,,,,9,FALSE
"FIS NP","fis_reference","catch limit data","catch limit data from CCAMLR","reference","metric tons","fis_reference.csv",,"sp_id","species_code","year","reference",,TRUE,2007,2014,32,620000,FALSE,,,,9,FALSE
"HAB","hab_extent","Habitat extent","Modeled combined habitat extent (sea ice extent and shoreline)","km2","km^2","hab_extent.csv","sp_id",,"habitat",,"km2",,TRUE,,,25830.2696078431,1749712.12622549,FALSE,,,,9,FALSE
"HAB","hab_sea_ice","Sea ice season days","Length of sea ice season (days) to calculate habitat health and trend","days","days","hab_sea_ice.csv","sp_id",,"habitat","year","days",,TRUE,1980,2013,0,349.0479249,FALSE,,,,9,FALSE
"ICO","ico_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","category","iucn status","ico_status.csv","sp_id",,"sciname",,,"category",TRUE,,,,,FALSE,,,86,9,
"ICO","ico_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","popn_trend","iucn trend","ico_trend.csv","sp_id",,"sciname",,,"popn_trend",TRUE,,,,,FALSE,,,75,9,
"LSP","lsp_mpa","Marine protected areas throughout CCAMLR regions ","Marine protected area","area_km2","km^2","lsp_mpa.csv","sp_id",,,"year","area_km2",,TRUE,1975,2014,0.62,93818.88,FALSE,,,3,9,FALSE
"pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","pressure_score","pressure score","cc_acid.csv","sp_id",,,,"pressure_score",,TRUE,,,0.218156133,0.369319917,TRUE,,,,9,FALSE
"pressures","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_slr.csv","sp_id",,,,"pressure_score",,TRUE,,,0.026224408,0.166481277,TRUE,,,,9,FALSE
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_sst.csv","sp_id",,,,"pressure_score",,TRUE,,,0.010507088,0.261178698,TRUE,,,,9,FALSE
"pressures","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_hb.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.003846782,TRUE,,,,9,FALSE
"pressures","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_lb.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.04481319,TRUE,,,,9,FALSE
"pressures","hd_sea_ice","Sea ice pressure","Calculated in HAB function in toolbox","pressure_score","pressure score","hd_sea_ice.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.40071453038967,TRUE,,,,9,FALSE
"pressures","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","pressure_score","pressure score","sp_alien.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.00232650117488309,TRUE,,,,9,FALSE
"pressures CW","po_chemicals","Ocean-based chemical pollution (shipping)","Ocean-based chemical pollution from commercial shipping traffic","pressure_score","pressure score","po_chemicals.csv","sp_id",,,,"pressure_score",,TRUE,,,0,0.00268632514674643,TRUE,,,,9,FALSE
"pressures CW","po_trash","Trash pollution","Density of trash from coastal land and sea","pressure_score","pressure score","po_trash.csv","sp_id",,,,"pressure_score",,TRUE,,,0.022297304,0.17193875,TRUE,,,,9,FALSE
"pressures HAB","hab_presence","Habitat presence","Modeled combined habitat presence","weight","boolean","hab_presence.csv","sp_id",,"sector",,"weight",,TRUE,,,1,1,TRUE,,,,9,FALSE
"pressures LE","le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","le_sector_weight.csv","sp_id",,"sector",,"weight",,TRUE,,,1,1,TRUE,,,,9,FALSE
