year,goal,method,reference_point
2016,FIS,Functional relationship (B/Bmsy),NA
2016,MAR,spatial 95th quantile,region id: 25 value: 0.012472510376656
2016,AO,XXXXXXXX,NA
2016,NP,Harvest peak within region times 0.65 buffer,varies for each region
2016,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2016,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2016,TR,spatial: 90th quantile,0.0572990116457372
2016,ICO,scaled IUCN risk categories,NA
2016,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2016,CW,spatial: pressures scaled from 0-1 at raster level,NA
2016,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2016,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
