year,goal,method,reference_point
2018,FIS,Functional relationship (B/Bmsy),NA
2018,MAR,spatial 95th quantile,region id: 143 value: 0.0119276203294306
2018,AO,XXXXXXXX,NA
2018,NP,Harvest peak within region times 0.65 buffer,varies for each region
2018,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2018,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2018,TR,spatial: 90th quantile,0.05135681906758
2018,ICO,scaled IUCN risk categories,NA
2018,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2018,CW,spatial: pressures scaled from 0-1 at raster level,NA
2018,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2018,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
