"sp_id","year","days","maxDays","rel_days"
248100,2008,618158,618158,1
248100,2009,554874,618158,1
248100,2010,607254,618158,1
248100,2011,537655,618158,1
248100,2012,410183,618158,1
248100,2013,512176,618158,1
248100,2014,563917,618158,1
248100,2015,448394,618158,1
248200,2008,2944,6405,0.707139854680838
248200,2009,6405,6405,1
248200,2010,4732,6405,1
248200,2011,6101,6405,1
248200,2012,4314,6405,1
248200,2013,115,6405,0.0276226505734702
248200,2014,1520,6405,0.365099381492824
248200,2015,1533,6405,0.368221941992434
248500,2008,2426,4873,0.765915799775845
248500,2009,3774,4873,1
248500,2010,2885,4873,0.910827321662536
248500,2011,2239,4873,0.706877772340526
248500,2012,4873,4873,1
248500,2013,807,4873,0.254779080964183
248500,2014,1578,4873,0.498192552368625
248500,2015,1182,4873,0.373170847211479
248600,2008,0,432,0
248600,2009,303,432,1
248600,2010,312,432,1
248600,2011,339,432,1
248600,2012,279,432,0.993589743589744
248600,2013,432,432,1
248600,2014,119,432,0.423789173789174
248600,2015,57,432,0.202991452991453
258410,2008,2484,4702,0.812747439714688
258410,2009,4702,4702,1
258410,2010,441,4702,0.144292117920361
258410,2011,465,4702,0.152144750188136
258410,2012,1149,4702,0.375944769819717
258410,2013,103,4702,0.0337008801492
258410,2014,0,4702,0
258410,2015,0,4702,0
258420,2008,768,768,1
258420,2009,222,768,0.444711538461538
258420,2010,0,768,0
258420,2011,224,768,0.448717948717949
258420,2012,684,768,1
258420,2013,0,768,0
258420,2014,116,768,0.232371794871795
258420,2015,15,768,0.0300480769230769
288100,2008,2298,6548,0.539918236924956
288100,2009,6548,6548,1
288100,2010,3384,6548,0.795075419388187
288100,2011,3070,6548,0.721300690757013
288100,2012,2202,6548,0.517362905878483
288100,2013,2475,6548,0.581504628541892
288100,2014,5145,6548,1
288100,2015,2733,6548,0.642122080729289
288200,2008,0,360,0
288200,2009,360,360,1
288200,2010,0,360,0
288200,2011,111,360,0.474358974358974
288200,2012,0,360,0
288200,2013,0,360,0
288200,2014,254,360,1
288200,2015,128,360,0.547008547008547
288300,2008,0,374,0
288300,2009,0,374,0
288300,2010,154,374,0.633484162895928
288300,2011,228,374,0.937885643767997
288300,2012,138,374,0.567667626491156
288300,2013,374,374,1
288300,2014,0,374,0
288300,2015,356,374,1
