goal_name,layer_name,scenario_year,data_year
AO,ao_access,2008,2013
AO,ao_access,2009,2013
AO,ao_access,2010,2013
AO,ao_access,2011,2013
AO,ao_access,2012,2013
AO,ao_access,2013,2013
AO,ao_access,2014,2013
AO,ao_access,2015,2013
AO,ao_access,2016,2013
AO,ao_access,2017,2013
AO,ao_need,2008,2007
AO,ao_need,2009,2008
AO,ao_need,2010,2009
AO,ao_need,2011,2010
AO,ao_need,2012,2011
AO,ao_need,2013,2012
AO,ao_need,2014,2013
AO,ao_need,2015,2014
AO,ao_need,2016,2015
AO,ao_need,2017,2015
CW,cw_chemical_trend,2012,2012
CW,cw_chemical_trend,2013,2013
CW,cw_chemical_trend,2014,2014
CW,cw_chemical_trend,2015,2015
CW,cw_chemical_trend,2016,2016
CW,cw_chemical_trend,2017,2016
CW,cw_nutrient_trend,2012,2012
CW,cw_nutrient_trend,2013,2013
CW,cw_nutrient_trend,2014,2014
CW,cw_nutrient_trend,2015,2015
CW,cw_nutrient_trend,2016,2016
CW,cw_nutrient_trend,2017,2016
CW,cw_pathogen_trend,2012,2012
CW,cw_pathogen_trend,2013,2013
CW,cw_pathogen_trend,2014,2014
CW,cw_pathogen_trend,2015,2015
CW,cw_pathogen_trend,2016,2015
CW,cw_pathogen_trend,2017,2015
CW,cw_trash_trend,2012,2016
CW,cw_trash_trend,2013,2016
CW,cw_trash_trend,2014,2016
CW,cw_trash_trend,2015,2016
CW,cw_trash_trend,2016,2016
CW,cw_trash_trend,2017,2016
CW,po_trash,2012,2015
CW,po_trash,2013,2015
CW,po_trash,2014,2015
CW,po_trash,2015,2015
CW,po_trash,2016,2015
CW,po_trash,2017,2015
CW,po_pathogens,2012,2012
CW,po_pathogens,2013,2013
CW,po_pathogens,2014,2014
CW,po_pathogens,2015,2015
CW,po_pathogens,2016,2015
CW,po_pathogens,2017,2015
CW,po_nutrients_3nm,2012,2012
CW,po_nutrients_3nm,2013,2013
CW,po_nutrients_3nm,2014,2014
CW,po_nutrients_3nm,2015,2015
CW,po_nutrients_3nm,2016,2016
CW,po_nutrients_3nm,2017,2016
prs,po_nutrients,2012,2012
prs,po_nutrients,2013,2013
prs,po_nutrients,2014,2014
prs,po_nutrients,2015,2015
prs,po_nutrients,2016,2016
prs,po_nutrients,2017,2016
CW,po_chemicals_3nm,2012,2012
CW,po_chemicals_3nm,2013,2013
CW,po_chemicals_3nm,2014,2014
CW,po_chemicals_3nm,2015,2015
CW,po_chemicals_3nm,2016,2016
CW,po_chemicals_3nm,2017,2016
prs,po_chemicals,2012,2012
prs,po_chemicals,2013,2013
prs,po_chemicals,2014,2014
prs,po_chemicals,2015,2015
prs,po_chemicals,2016,2016
prs,po_chemicals,2017,2016
prs,cc_acid,2012,2011
prs,cc_acid,2013,2012
prs,cc_acid,2014,2013
prs,cc_acid,2015,2014
prs,cc_acid,2016,2015
prs,cc_acid,2017,2015
prs,cc_slr,2012,2012
prs,cc_slr,2013,2013
prs,cc_slr,2014,2014
prs,cc_slr,2015,2015
prs,cc_slr,2016,2016
prs,cc_slr,2017,2016
prs,cc_sst,2012,2012
prs,cc_sst,2013,2013
prs,cc_sst,2014,2014
prs,cc_sst,2015,2015
prs,cc_sst,2016,2016
prs,cc_sst,2017,2016
prs,cc_uv,2012,2012
prs,cc_uv,2013,2013
prs,cc_uv,2014,2014
prs,cc_uv,2015,2015
prs,cc_uv,2016,2016
prs,cc_uv,2017,2016
hab cp cs,hab_mangrove_extent,2012,2015
hab cp cs,hab_mangrove_extent,2013,2015
hab cp cs,hab_mangrove_extent,2014,2015
hab cp cs,hab_mangrove_extent,2015,2015
hab cp cs,hab_mangrove_extent,2016,2015
hab cp cs,hab_mangrove_extent,2017,2015
hab cp cs,hab_mangrove_health,2012,2012
hab cp cs,hab_mangrove_health,2013,2012
hab cp cs,hab_mangrove_health,2014,2012
hab cp cs,hab_mangrove_health,2015,2012
hab cp cs,hab_mangrove_health,2016,2012
hab cp cs,hab_mangrove_health,2017,2012
hab cp cs,hab_mangrove_trend,2012,2012
hab cp cs,hab_mangrove_trend,2013,2013
hab cp cs,hab_mangrove_trend,2014,2014
hab cp cs,hab_mangrove_trend,2015,2015
hab cp cs,hab_mangrove_trend,2016,2015
hab cp cs,hab_mangrove_trend,2017,2015
hab cp cs,hab_saltmarsh_extent,2012,2012
hab cp cs,hab_saltmarsh_extent,2013,2012
hab cp cs,hab_saltmarsh_extent,2014,2012
hab cp cs,hab_saltmarsh_extent,2015,2012
hab cp cs,hab_saltmarsh_extent,2016,2012
hab cp cs,hab_saltmarsh_extent,2017,2012
hab cp cs,hab_saltmarsh_health,2012,2012
hab cp cs,hab_saltmarsh_health,2013,2012
hab cp cs,hab_saltmarsh_health,2014,2012
hab cp cs,hab_saltmarsh_health,2015,2012
hab cp cs,hab_saltmarsh_health,2016,2012
hab cp cs,hab_saltmarsh_health,2017,2012
hab cp cs,hab_saltmarsh_trend,2012,2012
hab cp cs,hab_saltmarsh_trend,2013,2012
hab cp cs,hab_saltmarsh_trend,2014,2012
hab cp cs,hab_saltmarsh_trend,2015,2012
hab cp cs,hab_saltmarsh_trend,2016,2012
hab cp cs,hab_saltmarsh_trend,2017,2012
hab cp cs,hab_seagrass_extent,2012,2012
hab cp cs,hab_seagrass_extent,2013,2012
hab cp cs,hab_seagrass_extent,2014,2012
hab cp cs,hab_seagrass_extent,2015,2012
hab cp cs,hab_seagrass_extent,2016,2012
hab cp cs,hab_seagrass_extent,2017,2012
hab cp cs,hab_seagrass_health,2012,2012
hab cp cs,hab_seagrass_health,2013,2012
hab cp cs,hab_seagrass_health,2014,2012
hab cp cs,hab_seagrass_health,2015,2012
hab cp cs,hab_seagrass_health,2016,2012
hab cp cs,hab_seagrass_health,2017,2012
hab cp cs,hab_seagrass_trend,2012,2012
hab cp cs,hab_seagrass_trend,2013,2012
hab cp cs,hab_seagrass_trend,2014,2012
hab cp cs,hab_seagrass_trend,2015,2012
hab cp cs,hab_seagrass_trend,2016,2012
hab cp cs,hab_seagrass_trend,2017,2012
hab cp,hab_seaice_extent,2012,2016
hab cp,hab_seaice_extent,2013,2016
hab cp,hab_seaice_extent,2014,2016
hab cp,hab_seaice_extent,2015,2016
hab cp,hab_seaice_extent,2016,2016
hab cp,hab_seaice_extent,2017,2016
