country,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
eez_weighted_avg,0,-0.02,-0.01,-0.19,-0.24,-0.29,0.06,0.01,0.21,0.27,0.15,0.03,-0.07,-0.16,0.1,-0.51,0.23,0.97,-0.05,-0.54
Pitcairn,146,1.15,2.56,-0.14,-0.07,-0,-0,NA,-0.29,0.72,0.37,0.01,-0.13,-0.13,0,-1.03,5.6,12.24,NA,NA
South Georgia and the South Sandwich Islands,89,0.85,NA,0.17,0.43,0.7,NA,NA,0.07,NA,NA,NA,1.63,1.63,NA,0.6,2.22,3.85,-0.12,NA
Papua New Guinea,17,0.75,0.01,-0.21,-0.07,0.07,-0.01,-0,-0.15,0.16,0.08,-0,-0.03,-0.04,0,-0.93,-0.47,-0.01,8.13,-0
Clipperton Island,107,0.68,NA,-0.36,-0.18,-0,-0,NA,-0.03,NA,NA,NA,-2.12,-2.12,NA,-0.78,5.73,12.24,NA,NA
Norfolk Island,3,0.65,0.27,-0.03,-0.02,-0,-0,NA,0.58,0.01,0.08,0.14,-0.07,-0.07,0,-0.57,4.84,10.26,-0.46,NA
North Korea,21,0.59,1.04,-0.29,-0.38,-0.46,0.43,0,0.26,-0.2,-0.01,0.18,0.02,1.67,2.09,-0.07,-0.03,0.01,2.28,NA
Glorioso Islands,30,0.56,NA,-0.18,-0.17,-0.16,-0,NA,-0.18,0.03,-0.03,-0.08,0.01,0.01,NA,0.48,3.73,6.99,NA,NA
Iraq,192,0.55,3.02,-0.24,-0.36,-0.49,0.03,0.04,2.08,1.37,0.69,-0,0.05,0.05,0,-0.85,-0.43,0,0.29,0.06
Japan,210,0.54,3.34,-0.25,-0.39,-0.54,0.28,-0.01,0.35,-0,0.21,0.42,0.65,0.41,-0.37,-0.48,0.58,1.63,1.2,-0.61
Albania,82,0.53,3.33,-0.51,-0.85,-1.2,-0,-0,1.55,-0,-0,-0,-0.04,0.89,1.71,-0.78,-0.63,-0.48,-0.05,1.06
Argentina,172,0.52,1.54,-0.1,-0.05,-0,-0,0,0.77,-0,-0,-0.01,1.85,1.85,0,-0.13,1.3,2.74,0.61,-0.84
Mayotte,29,0.5,0.9,-0.17,-0.09,0,0,-0,4.44,-0,-0,-0,-0.02,0.22,-0.01,-1.12,-0.55,0.02,-0.42,NA
Saint Kitts and Nevis,119,0.5,-0.79,-0.27,-0.16,-0.05,-0,-0,1.32,0.41,-0.03,-0.47,-0.07,-0.07,NA,-0.83,4.35,9.53,-0.04,0.37
Cyprus,81,0.49,0.35,-0.74,-0.44,-0.13,-0,-0,0.29,0.02,-0.07,-0.16,-0.59,1.9,2.94,-0.57,1.48,3.53,-0.21,1.59
South Korea,20,0.48,0.76,-0.43,-0.75,-1.07,-0,0,0.23,-0,0.04,0.08,0.17,0.86,0.03,0.02,2.19,4.35,3.32,-1.86
United Arab Emirates,54,0.47,-0.3,-0.39,-0.27,-0.16,0.02,0.01,0.01,0.06,0.03,-0,-0.2,-0.4,0.12,-0.86,0.22,1.31,1.23,4.2
Lebanon,78,0.44,1.15,-0.7,0.05,0.8,0,0,1.92,0.04,-0.03,-0.1,0.14,0.14,-0.04,-0.39,-0.16,0.08,2.78,-1.5
Tokelau,156,0.44,4.2,-0.35,-0.17,-0,-0,-0,0.77,0.72,0.37,0.01,-0.09,-0.09,0,-1.42,-0.71,0,-0.42,NA
Nicaragua,131,0.43,-1.96,-0.31,-0.18,-0.04,-0.05,-0.01,0.09,-0,-0.12,-0.24,-0.06,0.2,0.02,-0.74,-0.37,-0,6.06,-0.42
Spain,182,0.41,0.07,-0.5,-0.28,-0.06,-0,-0,0.86,-0,-0.02,-0.04,-0.24,0.04,0.04,-0.48,2.07,4.63,2.33,-0.99
Slovenia,188,0.4,0.56,-0.4,-0.61,-0.82,0,-0,2.45,-0,-0,-0,-0.02,0.95,0.24,-0.42,0.88,2.17,-0.21,-0
Maldives,39,0.38,-3.59,-0.23,-0.12,-0.01,-0,0,3.16,0.19,0.09,-0,0.15,0.15,0,-1.06,-0.38,0.29,4.48,-0.03
Pakistan,53,0.38,5.23,-0.37,-0.8,-1.24,-0.14,0.07,0.03,0.03,-0.13,-0.29,0.01,0.01,0,-0.81,-0.4,-0,-0.01,-0.01
Libya,67,0.38,-0.1,-0.75,-0.56,-0.37,-0.07,-0.03,-0.03,0.2,0.06,-0.08,-0.12,-0.12,-0,-0.64,-0.32,0,4.94,-0
Jamaica,166,0.35,5.62,-0.32,-0.22,-0.13,-0.04,-0.01,0.38,0.19,0.08,-0.03,-0.08,-0.07,-0,-0.91,-0.42,0.07,0.73,-2.55
Gibraltar,60,0.34,0.82,-0.5,-1.18,-1.86,NA,NA,2.57,0,-0,-0,-0.28,-0.28,0,-0.27,0.13,0.52,NA,NA
Ascension,85,0.34,-0.17,-0.1,-0.05,-0,NA,NA,0.19,0.24,0.04,-0.15,-2.15,-2.15,0,-0.58,4.92,10.41,-0.42,NA
Barbados,124,0.33,0.26,-0.28,-0.14,-0,-0,-0,0.7,-0.13,-0.06,-0,-0,-0,0,-1.01,-0.51,-0,0.2,-1.72
Sint Eustatius,249,0.33,0.01,0.01,0.01,-0,-0,-0,0.47,0.11,0.05,-0,0.05,0.05,0,-0.9,2.35,5.59,NA,0
Russia,73,0.32,1.01,0.02,0.19,0.37,0.59,-0,-0.15,0.03,0.24,0.45,0.49,0.35,0.35,0.1,0.31,0.53,0.86,-0.16
Venezuela,139,0.32,2.08,-0.46,-1.11,-1.75,0.01,0.01,0.7,0.16,0.62,1.07,1.39,0.83,0.04,-0.9,-0.52,-0.14,0.69,-0.11
Wallis and Futuna,161,0.32,4.05,-0.29,-0.14,-0,-0,NA,-0.25,0.72,0.37,0.01,-0.21,-0.21,0,-1.49,-0.74,0,-0.53,NA
Jordan,215,0.31,2.73,-0.24,-0.12,0,-0,-0,0.96,-0,-0.01,-0.02,0.02,0.02,0,-0.67,-0.33,0,-0.1,-0
Seychelles,31,0.3,0.16,-0.23,-0.66,-1.09,0,0,1.59,0.23,0.11,-0,-0.06,-0.06,-0,-0.44,1.99,4.42,0.01,-0.1
Indonesia,216,0.3,0.05,-0.26,-0.57,-0.87,0.01,0.01,0.27,1.23,0.32,-0.59,-0,0.03,0.28,-0.7,0.23,1.15,2.74,-0.08
Bosnia and Herzegovina,232,0.3,1.23,-0.52,-0.26,-0,NA,NA,1.27,-0,0,0,-0.09,0.3,0.06,-0.8,0.12,1.04,-0.4,0.13
Croatia,187,0.29,0.17,-0.5,-0.24,0.03,-0,-0,0.29,-0,-0.01,-0.02,-0.06,2.25,3.55,-0.59,3.76,8.11,-0.53,-2.83
Bouvet Island,105,0.29,NA,0.18,0.35,0.07,NA,NA,0.08,NA,NA,NA,-0.04,-0.04,NA,1.54,0.77,-0,NA,NA
Tonga,155,0.28,5.96,-0.25,-0.14,-0.02,0,0,0.24,1.07,0.53,-0,-0.29,-0.28,-0.01,-1.11,-0.57,-0.02,-2.94,-0.04
Belize,164,0.28,-0.26,-0.3,-0.12,0.07,0.05,0.02,0.12,-0,-0,-0,-0.16,2.57,-0.18,-0.94,-0.14,0.67,0.9,-0.38
Saba,248,0.28,0.01,0,-0,-0,-0,-0,0.03,0.11,0.05,-0,0.05,0.05,0,-0.9,2.35,5.59,NA,0
Prince Edward Islands,90,0.28,NA,0.04,0.03,0.02,-0,NA,-0.82,NA,NA,NA,0.14,0.14,NA,0.74,2.05,3.37,NA,NA
Kerguelen Islands,93,0.28,NA,0.18,1.22,2.25,NA,NA,0.04,NA,NA,NA,-0.36,-0.36,NA,0.48,0.24,-0,NA,NA
Haiti,114,0.27,0.09,-0.37,-0.16,0.04,0.12,0.17,-0.25,0.36,0.18,-0,-0.04,-0.04,0,-1.16,2.68,6.53,0.12,-0.2
