"rgn_id","habitat","health","year"
1,"coral",1,2021
2,"coral",1,2021
5,"coral",0.730957557997747,2021
6,"coral",0.964113890082612,2021
7,"coral",0.730957557997747,2021
8,"coral",1,2021
9,"coral",0.964113890082612,2021
10,"coral",0.964113890082612,2021
11,"coral",0.964113890082612,2021
12,"coral",0.743013670160413,2021
13,"coral",1,2021
14,"coral",1,2021
15,"coral",1,2021
16,"coral",0.730957557997747,2021
17,"coral",0.953679013210641,2021
18,"coral",1,2021
19,"coral",1,2021
24,"coral",1,2021
25,"coral",1,2021
26,"coral",1,2021
28,"coral",0.755307777337641,2021
29,"coral",0.855746556788467,2021
30,"coral",0.855746556788467,2021
31,"coral",0.855746556788467,2021
32,"coral",0.855746556788467,2021
33,"coral",0.855746556788467,2021
34,"coral",0.855746556788467,2021
35,"coral",0.855746556788467,2021
36,"coral",0.855746556788467,2021
37,"coral",0.855746556788467,2021
38,"coral",1,2021
39,"coral",1,2021
40,"coral",1,2021
41,"coral",0.755307777337641,2021
42,"coral",0.755307777337641,2021
43,"coral",0.580673354488477,2021
44,"coral",0.580673354488477,2021
45,"coral",0.984538344672957,2021
46,"coral",0.984538344672957,2021
47,"coral",0.984538344672957,2021
48,"coral",0.984538344672957,2021
49,"coral",0.984538344672957,2021
50,"coral",0.984538344672957,2021
51,"coral",0.984538344672957,2021
52,"coral",0.984538344672957,2021
54,"coral",0.984538344672957,2021
79,"coral",0.9845383,2021
102,"coral",0.755307777337641,2021
107,"coral",1,2021
108,"coral",0.517296486375576,2021
110,"coral",0.397647968195135,2021
111,"coral",0.517296486375576,2021
112,"coral",0,2021
113,"coral",0.517296486375576,2021
114,"coral",0.422740366276086,2021
115,"coral",1,2021
116,"coral",0.595384173926359,2021
117,"coral",0.517296486375576,2021
118,"coral",0.517296486375576,2021
119,"coral",0.725611882724082,2021
120,"coral",0.517296486375576,2021
121,"coral",0.517296486375576,2021
122,"coral",0.715200330885569,2021
123,"coral",0.567313208117372,2021
124,"coral",1,2021
125,"coral",0.567313208117372,2021
126,"coral",0.715200330885569,2021
127,"coral",0.715200330885569,2021
129,"coral",1,2021
130,"coral",1,2021
131,"coral",1,2021
132,"coral",0.850910287291316,2021
133,"coral",0.975251135882013,2021
135,"coral",1,2021
136,"coral",0.01995085,2021
137,"coral",1,2021
139,"coral",0.567313208117372,2021
140,"coral",0.76285514465227,2021
146,"coral",1,2021
147,"coral",1,2021
148,"coral",1,2021
149,"coral",0.964113890082612,2021
150,"coral",0.743013670160413,2021
151,"coral",1,2021
152,"coral",1,2021
153,"coral",1,2021
154,"coral",1,2021
155,"coral",1,2021
156,"coral",1,2021
157,"coral",1,2021
158,"coral",1,2021
159,"coral",0.743013670160413,2021
161,"coral",1,2021
163,"coral",0.422873323253544,2021
164,"coral",0.0199508481299071,2021
166,"coral",0.226458805310968,2021
171,"coral",0.923285557938854,2021
190,"coral",0.984538344672957,2021
191,"coral",0.984538344672957,2021
202,"coral",0.580673354488477,2021
203,"coral",1,2021
204,"coral",1,2021
205,"coral",1,2021
206,"coral",1,2021
207,"coral",1,2021
208,"coral",1,2021
209,"coral",0.811450896179176,2021
210,"coral",1,2021
212,"coral",1,2021
214,"coral",0.984538344672957,2021
215,"coral",0.984538344672957,2021
216,"coral",1,2021
220,"coral",1,2021
221,"coral",0.76285514465227,2021
231,"coral",1,2021
237,"coral",1,2021
244,"coral",1,2021
245,"coral",1,2021
247,"coral",1,2021
248,"coral",1,2021
249,"coral",1,2021
250,"coral",1,2021
